date,rank,song,artist,last_week,peak_rank,weeks_on_board,year,decade,mb_id,mb_title,mb_artist,mb_country,mb_date,mb_score,billboard_index,text_chunk
1990-08-11,9,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,5.0,1,13,1990,1990,1b6a1b61-4754-4a4f-a0fc-89b9dbfb3b85,She Ain't Worth It,Glenn Medeiros,AU,,100.0,0,'She Ain't Worth It' by Glenn Medeiros Featuring Bobby Brown (1990). Billboard Hot 100 peak: #1. Country of origin: AU. Match confidence: 100/100
1984-08-04,97,Against All Odds (Take A Look At Me Now),Phil Collins,84.0,1,24,1984,1980,161eac8b-ab29-4b8e-b7f1-e2a0631ae660,Against All Odds (Take a Look at Me Now),Phil Collins,XE,1990,100.0,1,'Against All Odds (Take A Look At Me Now)' by Phil Collins (1984). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 1990. Match confidence: 100/100
1973-01-27,6,Me And Mrs. Jones,Billy Paul,3.0,1,13,1973,1970,5dd0374b-c7ee-42c3-82ea-e243e10a9363,Me and Mrs. Jones,Billy Paul,DE,1994,100.0,2,'Me And Mrs. Jones' by Billy Paul (1973). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 1994. Match confidence: 100/100
1973-01-27,2,You're So Vain,Carly Simon,1.0,1,9,1973,1970,0e8b36b7-7120-46c5-bd7f-c7e457889914,You’re So Vain,Carly Simon,NL,1984,100.0,3,'You're So Vain' by Carly Simon (1973). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 1984. Match confidence: 100/100
1962-02-17,16,The Lion Sleeps Tonight,The Tokens,12.0,1,14,1962,1960,a415099d-41f3-42fd-a210-0cd1cc63ca16,The Lion Sleeps Tonight,The Tokens,GB,2001,100.0,4,'The Lion Sleeps Tonight' by The Tokens (1962). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2001. Match confidence: 100/100
1984-07-28,1,When Doves Cry,Prince,1.0,1,9,1984,1980,ae1867e0-1aa6-4951-a50b-1b67844a1b6f,When Doves Cry,Prince,DE,1998,100.0,5,'When Doves Cry' by Prince (1984). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 1998. Match confidence: 100/100
1984-07-28,75,Hello,Lionel Richie,73.0,1,23,1984,1980,e50946cc-9fc7-4c1c-bf24-d78b474e31e9,Hello,Lionel Richie,AL,,100.0,6,'Hello' by Lionel Richie (1984). Billboard Hot 100 peak: #1. Country of origin: AL. Match confidence: 100/100
1975-07-26,91,Philadelphia Freedom,The Elton John Band,70.0,1,21,1975,1970,f763964f-57ae-4a06-abd0-3e8469a49da5,Philadelphia Freedom,The Elton John Band,US,1975,100.0,7,'Philadelphia Freedom' by The Elton John Band (1975). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1975. Match confidence: 100/100
1962-02-10,67,Please Mr. Postman,The Marvelettes,50.0,1,23,1962,1960,fee25dcb-0681-4d6e-be2e-e93997477028,Please Mr Postman,The Marvelettes,GB,2009-12-07,100.0,8,'Please Mr. Postman' by The Marvelettes (1962). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2009-12-07. Match confidence: 100/100
1967-01-28,22,Winchester Cathedral,The New Vaudeville Band,12.0,1,14,1967,1960,15defc8b-cb09-430e-9e37-259b40a7de6c,Winchester Cathedral,The New Vaudeville Band,DE,,100.0,9,'Winchester Cathedral' by The New Vaudeville Band (1967). Billboard Hot 100 peak: #1. Country of origin: DE. Match confidence: 100/100
1989-06-17,69,She Drives Me Crazy,Fine Young Cannibals,53.0,1,21,1989,1980,c9525412-c885-4620-b57f-39d5d97b4ed4,She Drives Me Crazy,Fine Young Cannibals,AU,1998,100.0,10,'She Drives Me Crazy' by Fine Young Cannibals (1989). Billboard Hot 100 peak: #1. Country of origin: AU. Release date: 1998. Match confidence: 100/100
1989-06-10,4,"Rock On (From ""Dream A Little Dream"")",Michael Damian,1.0,1,13,1989,1980,,,,,,,11,"'Rock On (From ""Dream A Little Dream"")' by Michael Damian (1989). Billboard Hot 100 peak: #1"
1959-06-15,14,The Happy Organ,"Dave ""Baby"" Cortez",10.0,1,14,1959,1950,c7c95307-4329-4eee-aa43-3b27ef0d91e4,The Happy Organ,Dave “Baby” Cortez,US,,100.0,12,"'The Happy Organ' by Dave ""Baby"" Cortez (1959). Billboard Hot 100 peak: #1. Country of origin: US. Match confidence: 100/100"
1975-07-26,71,Thank God I'm A Country Boy,John Denver,53.0,1,19,1975,1970,4b0e471b-d6ce-406d-a91b-d69b1dd2da62,Thank God I’m a Country Boy,John Denver,GB,2009-05-25,100.0,13,'Thank God I'm A Country Boy' by John Denver (1975). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2009-05-25. Match confidence: 100/100
1989-06-10,1,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,3.0,1,15,1989,1980,87291efd-a4d9-4be0-b796-7904a96caad3,God Help the Outcasts,Bette Midler,XW,2006-05-30,100.0,14,"'Wind Beneath My Wings (From ""Beaches"")' by Bette Midler (1989). Billboard Hot 100 peak: #1. Country of origin: XW. Release date: 2006-05-30. Match confidence: 100/100"
1989-06-17,93,The Look,Roxette,66.0,1,19,1989,1980,6a760467-b321-44af-a727-16ec1e74ae2c,The Look,Roxette,XE,2001-11-26,100.0,15,'The Look' by Roxette (1989). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 2001-11-26. Match confidence: 100/100
1973-01-20,52,I Can See Clearly Now,Johnny Nash,46.0,1,20,1973,1970,fbc12db5-ba11-4277-957b-dca12b71f55e,I Can See Clearly Now,Johnny Nash,GB,2013-11-11,100.0,16,'I Can See Clearly Now' by Johnny Nash (1973). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2013-11-11. Match confidence: 100/100
